facility_id,name,address,type,bed_count,accreditation_status,accreditation_body,cms_provider_number,certification_date
FAC-0196,JOHN P MUSANTE HEALTH CENTER,"70 BOLTWOOD WALK, AMHERST, MA 01002",Short-Term Acute Care,0,Not Accredited,Unknown,221949,20180608
FAC-0197,SOUGH COVE COMMUNITY HEALTH CENTER INC,"277 COMMERCIAL STREET, MALDEN, MA 02148",Short-Term Acute Care,0,Not Accredited,Unknown,221950,20180611
FAC-0198,WASHINGTON ELEMENTARY SCHOOL,"58 BLOSSOM STREET, LYNN, MA 01902",Short-Term Acute Care,0,Not Accredited,Unknown,221951,20190107
FAC-0199,DREWITZ ELEMENTARY SCHOOL,"34 HOOD STREET, LYNN, MA 01905",Short-Term Acute Care,0,Not Accredited,Unknown,221952,20190107
FAC-0200,COMMUNITY HEALTH CENTER OF CAPE CODE-CENTERVILLE,"1185 FALMOUTH RD, CENTERVILLE, MA 02632",Short-Term Acute Care,0,Not Accredited,Unknown,221953,20200215
FAC-0201,FAMILY HEALTH CENTER - HOAP,"199 CHANDLER ST, FL 4, WORCESTER, MA 01609",Short-Term Acute Care,0,Not Accredited,Unknown,221954,20200410
FAC-0202,HAVERHILL FAMILY HEALTH CENTER,"755 MAIN STREET, FIRST FLOOR, UNIT C, HAVERHILL, MA 01830",Short-Term Acute Care,0,Not Accredited,Unknown,221955,20201119
FAC-0203,COMMUNITY HEALTH CENTER OF CAPE COD INC,"90 ROUTE 6A, UNIT 4C, SANDWICH, MA 02563",Short-Term Acute Care,0,Not Accredited,Unknown,221956,20210122
FAC-0204,MANET COMMUNITY HEALTH CENTER INC,"110  W. SQUANTUM ST, QUINCY, MA 02171",Short-Term Acute Care,0,Not Accredited,Unknown,221957,20211105
FAC-0205,MCINNIS HEALTH GROUP,"1785 COLUMBUS AVE, STE 200, ROXBURY, MA 02119",Short-Term Acute Care,0,Not Accredited,Unknown,221958,20220202
FAC-0206,MANET COMMUNITY HEALTH CENTER ATTLEBORO,"8 N MAIN ST, ATTLEBORO, MA 02703",Short-Term Acute Care,0,Not Accredited,Unknown,221959,20220307
FAC-0207,LYNN COMMUNITY HEALTH INC,"73 BUFFUM ST, LYNN, MA 01902",Short-Term Acute Care,0,Not Accredited,Unknown,221960,20220523
FAC-0208,LYNN COMMUNITY HEALTH INC,"40 NEPTUNE BLVD, LYNN, MA 01902",Short-Term Acute Care,0,Not Accredited,Unknown,221961,20220523
FAC-0209,LEOMINSTER COMMUNITY HEALTH AND URGENT CARE CENTER,"165 MILL ST, LEOMINSTER, MA 01453",Short-Term Acute Care,0,Not Accredited,Unknown,221962,20220809
FAC-0210,COMMUNITY HEALTH CENTER OF CAPE COD INC,"26 EDGERTON DR NORTH, N FALMOUTH, MA 02556",Short-Term Acute Care,0,Not Accredited,Unknown,221963,20220830
FAC-0211,CHESTNUT HILL BENEVOLENT ASSOCIATION,"910 BOYLSTON STREET, CHESTNUT HILL, MA 02167",Psychiatric,28,Active,Unknown,221990,20230920
FAC-0212,SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB,"1575 CAMBRIDGE STREET, CAMBRIDGE, MA 02138",Long-Term Care,180,Active,Unknown,222000,20080327
FAC-0213,PAM HEALTH SPECIALTY HOSPITAL OF STOUGHTON,"909 SUMNER STREET 1ST FLOOR, STOUGHTON, MA 02072",Long-Term Care,198,Active,Unknown,222002,20131108
FAC-0214,TEWKSBURY HOSPITAL,"365 EAST STREET, TEWKSBURY, MA 01876",Long-Term Care,760,Active,Unknown,222003,20130114
FAC-0215,LEMUEL SHATTUCK HOSPITAL,"170 MORTON STREET, JAMAICA PLAIN, MA 02130",Long-Term Care,260,Active,Unknown,222006,20151110
FAC-0216,HEBREW REHABILITATION CENTER,"1200 CENTRE STREET, BOSTON, MA 02131",Long-Term Care,675,Active,Unknown,222007,20220311
FAC-0217,WESTERN MASSACHUSETTS HOSPITAL,"91 EAST MOUNTAIN ROAD, WESTFIELD, MA 01085",Long-Term Care,102,Active,Unknown,222023,20151204
FAC-0218,VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS,"4499 ACUSHNET AVENUE, NEW BEDFORD, MA 02745",Long-Term Care,90,Active,Unknown,222043,19990902
FAC-0219,VIBRA HOSPITAL OF WESTERN MASS - CENTRAL CAMPUS,"111 HUNTOON MEMORIAL HIGHWAY, 1ST FLOOR, ROCHDALE, MA 01542",Long-Term Care,174,Active,Unknown,222046,20150507
FAC-0220,WHITTIER REHABILITATION HOSPITAL - BRADFORD,"145 WARD HILL AVENUE, BRADFORD, MA 01835",Long-Term Care,60,Active,Unknown,222047,20051001
FAC-0221,WHITTIER REHABILITATION HOSPITAL,"150 FLANDERS ROAD, WESTBOROUGH, MA 01581",Long-Term Care,88,Active,Unknown,222048,20110516
FAC-0222,ST ELIZABETH'S RENAL DIALYSIS CENTER,"736 CAMBRIDGE STREET, BRIGHTON, MA 02135",Short-Term Acute Care,0,Active,Unknown,222303,20190619
FAC-0223,MASSACHUSETTS GENERAL HOSPITAL - ESRD,"55 FRUIT STREET, BOSTON, MA 02114",Short-Term Acute Care,0,Active,Unknown,222306,20230323
FAC-0224,BRIGHAM AND WOMENS HOSP - ESRD,"75 FRANCIS STREET, BOSTON, MA 02115",Short-Term Acute Care,0,Active,Unknown,222309,20230516
FAC-0225,CHILDREN'S HOSP MED CTR - ESRD,"300 LONGWOOD AVENUE, BOSTON, MA 02115",Short-Term Acute Care,0,Active,Unknown,222312,20240215
FAC-0226,NANTUCKET COTTAGE HOSP-ESRD,"SOUTH PROSPECT STREET, NANTUCKET, MA 02554",Short-Term Acute Care,0,Active,Unknown,222315,20230427
FAC-0227,UNIVERSITY OF MA MED CTR-ESRD,"55 LAKE AVENUE NORTH, WORCESTER, MA 01655",Short-Term Acute Care,0,Active,Unknown,222316,20250624
FAC-0228,MARTHA'S VINEYARD HOSP - ESRD,"LINTON LANE, PO BOX 1477, OAK BLUFFS, MA 02557",Short-Term Acute Care,0,Active,Unknown,222318,20241022
FAC-0229,BMC SOUTH COUNTY DIALYSIS CENTER,"10 MAPLE AVENUE, GREAT BARRINGTON, MA 01230",Short-Term Acute Care,0,Active,Unknown,222321,20190806
FAC-0230,"KIDNEY CENTER, THE","888 COMMONWEALTH AVENUE, BOSTON, MA 02215",Short-Term Acute Care,0,Active,Unknown,222500,20220601
FAC-0231,FRESENIUS MEDICAL CARE CAPE COD,"241 WILLOW STREET, YARMOUTH PORT, MA 02675",Short-Term Acute Care,0,Active,Unknown,222501,20230504
FAC-0232,WESTERN MASS KIDNEY CENTER,"2000 MAIN STREET, SPRINGFIELD, MA 01103",Short-Term Acute Care,0,Active,Unknown,222502,20220414
FAC-0233,HAWTHORN KIDNEY CENTER LLC,"537 FAUNCE CORNER ROAD, DARTMOUTH, MA 02747",Short-Term Acute Care,0,Active,Unknown,222503,20240530
FAC-0234,FRESENIUS MEDICAL CARE FRAMINGHAM,"110 MOUNT WAYTE AVENUE, FRAMINGHAM, MA 01702",Short-Term Acute Care,0,Active,Unknown,222504,20230329
FAC-0235,BROCKTON DIALYSIS CENTER LLC,"375 WESTGATE DRIVE, BROCKTON, MA 02301",Short-Term Acute Care,0,Active,Unknown,222505,20250513
FAC-0236,MEDFORD DIALYSIS CENTER,"305 MYSTIC AVE, MEDFORD, MA 02155",Short-Term Acute Care,0,Active,Unknown,222507,20240321
FAC-0237,"DIALYSIS CLINIC, INC","35 KNEELAND STREET, BOSTON, MA 02111",Short-Term Acute Care,0,Active,Unknown,222508,20221122
FAC-0238,BMA WESTWOOD,"90 GLACIER DRIVE, WESTWOOD, MA 02090",Short-Term Acute Care,0,Active,Unknown,222511,20250702
FAC-0239,NORTH SUBURBAN DIALYSIS CENTER,"124 BROADWAY, SAUGUS, MA 01906",Short-Term Acute Care,0,Active,Unknown,222512,20250108
FAC-0240,SOUTH SUBURBAN DIALYSIS CENTER,"241 PARKINGWAY, QUINCY, MA 02169",Short-Term Acute Care,0,Active,Unknown,222515,20240328
FAC-0241,FALL RIVER KIDNEY CENTER LLC,"48 WEAVER STREET, FALL RIVER, MA 02720",Short-Term Acute Care,0,Active,Unknown,222516,20250312
FAC-0242,WEYMOUTH DIALYSIS,"330 LIBBEY INDUSTRIAL PARKWAY, SUITE 900, WEYMOUTH, MA 02189",Short-Term Acute Care,0,Active,Unknown,222517,20230126
FAC-0243,QCDC WEYMOUTH,"2 WEST STREET, UNIT 1, STETSON WEST, WEYMOUTH, MA 02190",Short-Term Acute Care,0,Active,Unknown,222519,20230525
FAC-0244,WOBURN DIALYSIS,"23 WARREN AVENUE, WOBURN, MA 01801",Short-Term Acute Care,0,Active,Unknown,222520,20250129
FAC-0245,UNIVERSITY DIALYSIS CENTER,"239-243 BOSTON TURNPIKE ROAD, SHREWSBURY, MA 01545",Short-Term Acute Care,0,Active,Unknown,222521,20250319
FAC-0246,PURE LIFE RENAL OF STOUGHTON,"907 SUMNER STREET, SUITE M107, STOUGHTON, MA 02072",Short-Term Acute Care,0,Active,Unknown,222523,20220426
FAC-0247,FRESENIUS MEDICAL CARE OF STONEHAM,"2 MAIN STREET, SUITE 100, STONEHAM, MA 02180",Short-Term Acute Care,0,Active,Unknown,222524,20250122
FAC-0248,MARY ELIZA MAHONEY DIALYSIS CTR,"416 WARREN STREET, ROXBURY, MA 02119",Short-Term Acute Care,0,Active,Unknown,222525,20221110
FAC-0249,BOSTON DIALYSIS,"660 HARRISON AVENUE, BOSTON, MA 02118",Short-Term Acute Care,0,Active,Unknown,222526,20241031
FAC-0250,BROOKLINE DIALYSIS,"322 W ASHINGTON STREET, BROOKLINE, MA 02445",Short-Term Acute Care,0,Active,Unknown,222529,20231116
FAC-0251,NEW BEDFORD DIALYSIS,"237-B STATE ROAD, DARTMOUTH, MA 02747",Short-Term Acute Care,0,Active,Unknown,222530,20240606
FAC-0252,NORTHEAST CAMBRIDGE DIALYSIS,"799 CONCORD AVENUE, CAMBRIDGE, MA 02138",Short-Term Acute Care,0,Active,Unknown,222533,20250507
FAC-0253,WELLESLEY DIALYSIS LLC,"195 WORCESTER STREET, WELLESLEY FMS, MA 02481",Short-Term Acute Care,0,Active,Unknown,222534,20220420
FAC-0254,EAST SPRINGFIELD DIALYSIS CTR,"1515 STATE STREET, SPRINGFIELD, MA 01109",Short-Term Acute Care,0,Active,Unknown,222535,20231207
FAC-0255,PHYSICIANS DIALYSIS-FITCHBURG,"551 ELECTRIC AVENUE, FITCHBURG, MA 01420",Short-Term Acute Care,0,Active,Unknown,222536,20220506
FAC-0256,HAMPSHIRE COUNTY DIALYSIS CTR,"84 CONZ STREET, NORTHAMPTON, MA 01060",Short-Term Acute Care,0,Active,Unknown,222537,20240925
FAC-0257,PIONEER VALLEY DIALYSIS CENTER,"208 ASHLEY AVENUE, WEST SPRINGFIELD, MA 01089",Short-Term Acute Care,0,Active,Unknown,222538,20250328
FAC-0258,YANKEE FAMILY DIALYSIS,"115 WILDWOOD AVENUE, GREENFIELD, MA 01301",Short-Term Acute Care,0,Active,Unknown,222539,20240515
FAC-0259,WELLINGTON CIRCLE DIALYSIS CENTER,"10 CABOT ROAD, SUITE 103 B, MEDFORD, MA 02155",Short-Term Acute Care,0,Active,Unknown,222542,20241205
FAC-0260,SALEM NORTHEAST DIALYSIS,"207 HIGHLAND AVENUE, SUITE 2, SALEM, MA 01970",Short-Term Acute Care,0,Active,Unknown,222543,20240222
FAC-0261,NORTH ANDOVER RENAL CENTER,"201 SUTTON STREET, NORTH ANDOVER, MA 01845",Short-Term Acute Care,0,Active,Unknown,222545,20221201
FAC-0262,PEABODY DIALYSIS CENTER,"19A CENTENNIAL DRIVE, PEABODY, MA 01960",Short-Term Acute Care,0,Active,Unknown,222546,20240307
FAC-0263,NORWOOD DIALYSIS CENTER,"101 ACCESS ROAD, NORWOOD, MA 02062",Short-Term Acute Care,0,Active,Unknown,222548,20180413
FAC-0264,DCI BALL SQUARE - ESRD,"643 BROADWAY, SOMERVILLE, MA 02145",Short-Term Acute Care,0,Active,Unknown,222549,20240314
FAC-0265,NORTH SHORE REG DIALYSIS CTR,"133 BRIMBALL AVENUE, UNIT E, BEVERLY, MA 01915",Short-Term Acute Care,0,Active,Unknown,222550,20221229
FAC-0266,FRESENIUS MEDICAL CARE OF BLACKSTONE VALLEY,"42 CAPE ROAD, MILFORD, MA 01757",Short-Term Acute Care,0,Active,Unknown,222551,20241010
FAC-0267,DCI BRIGHAM/FAULKNER - ESRD,"1153 CENTRE STREET, BOSTON, MA 02130",Short-Term Acute Care,0,Active,Unknown,222552,20230406
FAC-0268,FRESENIUS MEDICAL CARE OF MASHPEE - DIALYSIS SERV,"34 BATES ROAD, SUITE 201, MASHPEE, MA 02649",Short-Term Acute Care,0,Active,Unknown,222553,20240522
FAC-0269,BURLINGTON REGIONAL DIALYSIS,"31 MALL ROAD, SUITE 1B, BURLINGTON, MA 01805",Short-Term Acute Care,0,Active,Unknown,222556,20220512
FAC-0270,PALMER DIALYSIS CENTER,"42 WRIGHT STREET, PALMER, MA 01069",Short-Term Acute Care,0,Active,Unknown,222557,20250417
FAC-0271,DCI WALDEN POND,"56 WINTHROP STREET, WEST CONCORD, MA 01742",Short-Term Acute Care,0,Active,Unknown,222559,20221207
FAC-0272,SPRINGFIELD DIALYSIS CENTER,"90 CAREW STREET UNIT A, SPRINGFIELD, MA 01104",Short-Term Acute Care,0,Active,Unknown,222560,20231214
FAC-0273,SOUTH COUNTY DIALYSIS CENTER,"336 THOMPSON ROAD, WEBSTER, MA 01570",Short-Term Acute Care,0,Active,Unknown,222561,20250306
FAC-0274,FRESENIUS MEDICAL CARE OF NEWBURYPORT,"260 MERRIMAC STREET, NEWBURYPORT, MA 01950",Short-Term Acute Care,0,Active,Unknown,222562,20250220
FAC-0275,PDI - WORCESTER,"19 GLENNIE STREET, SUITE A, WORCESTER, MA 01605",Short-Term Acute Care,0,Active,Unknown,222564,20231109
FAC-0276,FRESENIUS MEDICAL CARE OF METHUEN,"421 MERRIMACK STREET, METHUEN, MA 01844",Short-Term Acute Care,0,Active,Unknown,222565,20230222
FAC-0277,FRESENIUS MEDICAL CARE - PLYMOUTH CORDAGE,"10 CORDAGE PARK CIRCLE, SUITE 213, PLYMOUTH, MA 02360",Short-Term Acute Care,0,Active,Unknown,222567,20250326
FAC-0278,"DIALYSIS CENTER AT WALTHAM, THE","135 BEAVER STREET, WALTHAM, MA 02452",Short-Term Acute Care,0,Active,Unknown,222568,20230118
FAC-0279,FRESENIUS MEDICAL CARE OF MARLBOROUGH,"360 CEDAR HILL STREET, SUITE #3, MARLBORO, MA 01752",Short-Term Acute Care,0,Active,Unknown,222570,20230202
FAC-0280,DIALYSIS CENTER OF WESTERN MASSACHUSETTS LLC,"601 MEMORIAL DRIVE, SUITE H, CHICOPEE, MA 01020",Short-Term Acute Care,0,Active,Unknown,222571,20240717
FAC-0281,"HERITAGE DIALYSIS CENTER, LLC","67 COOPER STREET, AGAWAM, MA 01001",Short-Term Acute Care,0,Active,Unknown,222572,20250528
FAC-0282,TAUNTON REGIONAL DIALYSIS CENTER,"MILL RIVER PLACE 1 WASHINGTON STREET, TAUNTON, MA 02780",Short-Term Acute Care,0,Active,Unknown,222573,20250617
FAC-0283,BROCKTON REGIONAL KIDNEY CENTER,"76 CAMPANELLI INDUSTRIAL DRIVE, BROCKTON, MA 02301",Short-Term Acute Care,0,Active,Unknown,222574,20230210
FAC-0284,U.S. RENAL CARE QUINCY DIALYSIS,"500 VICTORY ROAD, QUINCY, MA 02171",Short-Term Acute Care,0,Active,Unknown,222576,20241114
FAC-0285,FRESENIUS MEDICAL CARE OF WAREHAM,"100 ROSEBROOK WAY, SUITE 100, WAREHAM, MA 02571",Short-Term Acute Care,0,Active,Unknown,222577,20221220
FAC-0286,U.S. RENAL CARE FOXBOROUGH DIALYSIS,"10 LINCOLN ROAD, SUITE 101, FOXBOROUGH, MA 02035",Short-Term Acute Care,0,Active,Unknown,222579,20230302
FAC-0287,ARA-LUDLOW DIALYSIS,"14 CHESTNUT PLACE, SUITE B, LUDLOW, MA 01056",Short-Term Acute Care,0,Active,Unknown,222580,20231026
FAC-0288,ATTLEBORO DIALYSIS CENTER,"111 PLEASANT STREET, ATTLEBORO, MA 02703",Short-Term Acute Care,0,Active,Unknown,222581,20230511
FAC-0289,FRESENIUS MEDICAL CARE MERRIMACK  VALLEY,"100 MILK STREET, METHUEN, MA 01844",Short-Term Acute Care,0,Active,Unknown,222582,20230419
FAC-0290,FRESENIUS MEDICAL CARE LOWELL,"847 ROGERS STREET SUITE 101, LOWELL, MA 01853",Short-Term Acute Care,0,Active,Unknown,222583,20250605
FAC-0291,DIALYSIS CENTER OF ATTLEBORO LLC,"217 SOUTH MAIN STREET, STORE 7, ATTLEBORO, MA 02703",Short-Term Acute Care,0,Active,Unknown,222584,20231026
FAC-0292,NXSTAGE KIDNEY CARE BOSTON NORTH,"107 AUDUBON ROAD, SUITE 1-60, WAKEFIELD, MA 01880",Short-Term Acute Care,0,Active,Unknown,222586,20180725
FAC-0293,FRESENIUS MEDICAL CARE CHELMSFORD,"27 INDUSTRIAL AVENUE, CHELMSFORD, MA 01824",Short-Term Acute Care,0,Active,Unknown,222587,20250611
FAC-0294,FRESENIUS MEDICAL CARE DANVERS,"75 NEWBURY STREET, DANVERS, MA 01923",Short-Term Acute Care,0,Active,Unknown,222588,20220614
FAC-0295,U S RENAL CARE WEYMOUTH DIALYSIS,"587 WASHINGTON STREET, WEYMOUTH, MA 02188",Short-Term Acute Care,0,Active,Unknown,222589,20221104
FAC-0296,FREEDOM CENTER OF WORCESTER,"1 INNOVATION DRIVE, WORCESTER, MA 01605",Short-Term Acute Care,0,Active,Unknown,222590,20250430
FAC-0297,FRESENIUS MEDICAL CARE OF FAIRHAVEN,"216 HUTTLESTON AVENUE, FAIRHAVEN, MA 02719",Short-Term Acute Care,0,Active,Unknown,222591,20221214
FAC-0298,ARA AUBURN DIALYSIS CENTER,"771 SOUTHBRIDGE STREET, SUITE #1, AUBURN, MA 01501",Short-Term Acute Care,0,Active,Unknown,222593,20250211
FAC-0299,FRESENIUS KIDNEY CARE WORCESTER COUNTY DIALYSIS,"867 GRAFTON STREET, WORCESTER, MA 01604",Short-Term Acute Care,0,Active,Unknown,222594,20250204
FAC-0300,ARA HOLYOKE DIALYSIS CENTER,"36 LOWER WESTFIELD RD, UNIT C-153, HOLYOKE, MA 01040",Short-Term Acute Care,0,Active,Unknown,222595,20240124
FAC-0301,FRESENIUS KIDNEY CARE - OXFORD,"10A GALAXY PASS, SUTTON, MA 01590",Short-Term Acute Care,0,Active,Unknown,222596,20191118
FAC-0302,FRESENIUS KIDNEY CARE CHELSEA,"90 EVERETT AVENUE, CHELSEA, MA 02150",Short-Term Acute Care,0,Active,Unknown,222597,20200401
FAC-0303,LEOMINSTER DIALYSIS LLC,"20 COMMERCIAL ROAD, SUITE 5, LEOMINSTER, MA 01453",Short-Term Acute Care,0,Active,Unknown,222598,20230928
FAC-0304,FRESENIUS KIDNEY CARE WELLESLEY,"981 WELLESLEY STREET, SUITE 1-B, WELLESLEY, MA 02482",Short-Term Acute Care,0,Active,Unknown,222599,20220131
FAC-0305,MYSTIC RIVER HOME TRAINING,"712 FELLSWAY, MEDFORD, MA 02155",Short-Term Acute Care,0,Active,Unknown,222600,20230316
FAC-0306,CONCERTO MASSACHUSETTS LLC,"1256 PARK STREET, SUITE 102, STOUGHTON, MA 02072",Short-Term Acute Care,0,Active,Unknown,222601,20240906
FAC-0307,ENCOMPASS HEALTH REHABILITATION HOSP OF NEW ENGLAN,"2 REHABILITATION WAY, WOBURN, MA 01801",Children's,210,Active,Unknown,223026,20090924
FAC-0308,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,"250 POND STREET, BRAINTREE, MA 02184",Children's,187,Active,Unknown,223027,19930824
FAC-0309,"FAIRLAWN REHAB HOSP, AN AFFILIATE OF ENCOMPASS HLT","189 MAY STREET, WORCESTER, MA 01602",Children's,110,Active,Unknown,223029,20000622
FAC-0310,ENCOMPASS HEALTH REHAB HOSPITAL OF WESTERN MASS,"222 STATE STREET, LUDLOW, MA 01056",Children's,53,Active,Unknown,223030,20120725
FAC-0311,SPAULDING REHABILITATION HOSPITAL - CAPE COD,"311 SERVICE ROAD, EAST SANDWICH, MA 02537",Children's,60,Active,Unknown,223032,20180529
FAC-0312,SPAULDING REHABILITATION HOSPITAL,"300 FIRST AVENUE, CHARLESTOWN, MA 02129",Children's,132,Active,Unknown,223034,19870101
FAC-0313,FRANCISCAN HOSPITAL FOR CHILDREN,"30 WARREN STREET, BRIGHTON, MA 02135",Distinct Part Psychiatric,112,Active,Unknown,223300,20140123
FAC-0314,BOSTON CHILDREN'S HOSPITAL,"300 LONGWOOD AVENUE, BOSTON, MA 02115",Distinct Part Psychiatric,395,Active,Unknown,223302,20121016
FAC-0315,"SHRINERS' HOSPITAL FOR CHILDREN - BOSTON, THE","51 BLOSSOM STREET, BOSTON, MA 02114",Distinct Part Psychiatric,30,Active,Unknown,223304,20110620
FAC-0316,UMASS MEMORIAL MED CENTER - MEMORIAL CAMPUS,"119 BELMONT STREET, WORCESTER, MA 01605",Short-Term Acute Care,0,Active,Unknown,223504,20181121
FAC-0317,NORTH ADAMS RENAL DIALYSIS SUITE OF BMC,"71 HOSPITAL AVENUE, GROUND FLOOR, NORTH ADAMS, MA 01247",Short-Term Acute Care,0,Active,Unknown,223505,20181121
FAC-0318,BERKSHIRE MEDICAL CENTER CENTRAL COUNTY DIALYSIS,"8 CONTE DRIVE, PITTSFIELD, MA 01201",Short-Term Acute Care,0,Active,Unknown,223506,20190306
FAC-0319,TULLY FAMILY MEDICINE,"81 RESERVOIR DRIVE, ATHOL, MA 01331",Short-Term Acute Care,0,Active,Unknown,223975,20181001
FAC-0320,EAST MOUNTAIN MEDICAL,"780 MAIN STREET, GREAT BARRINGTON, MA 01230",Short-Term Acute Care,0,Active,Unknown,223976,20190930
FAC-0321,WILLIAMSTOWN MEDICAL AT NORTH ADAMS,"71 HOSPITAL AVENUE, NORTH ADAMS, MA 01247",Short-Term Acute Care,0,Active,Unknown,223977,20190930
FAC-0322,WILLIAMSTOWN MEDICAL,"197 ADAMS ROAD, WILLIAMSTOWN, MA 01267",Short-Term Acute Care,0,Active,Unknown,223978,20190930
FAC-0323,NANTUCKET COTTAGE MEDICAL GROUP,"57 PROSPECT STREET, NANTUCKET, MA 02554",Short-Term Acute Care,0,Active,Unknown,223979,20190716
FAC-0324,ATHOL PRIMARY CARE,"2033 MAIN STREET, ATHOL, MA 01331",Short-Term Acute Care,0,Active,Unknown,223980,20200415
FAC-0325,MARTHA'S VINEYARD HOSPITAL RURAL HEALTH CLINIC,"1 HOSPITAL ROAD, OAK BLUFFS, MA 02557",Short-Term Acute Care,0,Active,Unknown,223981,20210326
FAC-0326,TAUNTON STATE HOSPITAL,"60 HODGES AVENUE, BOX 151, TAUNTON, MA 02780",Rehabilitation,45,Active,Unknown,224001,20141121
FAC-0327,MCLEAN HOSPITAL CORPORATION,"115 MILL STREET, BELMONT, MA 02478",Rehabilitation,324,Active,Unknown,224007,20100714
FAC-0328,"ARBOUR HOSPITAL, THE","49 ROBINWOOD AVENUE, BOSTON, MA 02130",Rehabilitation,118,Active,Unknown,224013,20110420
FAC-0329,ARBOUR HUMAN RESOURCE INSTITUTE,"227 BABCOCK STREET, BROOKLINE, MA 02446",Rehabilitation,68,Active,Unknown,224018,20140227
FAC-0330,ARBOUR-FULLER HOSPITAL,"200 MAY STREET, SOUTH ATTLEBORO, MA 02703",Rehabilitation,86,Active,Unknown,224021,20110216
FAC-0331,BOURNEWOOD HOSPITAL,"300 SOUTH STREET, BOSTON COLLEGE, MA 02467",Rehabilitation,90,Active,Unknown,224022,20091204
FAC-0332,WESTWOOD PEMBROKE HEALTH SYSTEMS,"45 CLAPBOARDTREE STREET, WESTWOOD, MA 02090",Rehabilitation,248,Active,Unknown,224023,20070921
FAC-0333,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,"49 HILLSIDE STREET, FALL RIVER, MA 02720",Rehabilitation,16,Active,Unknown,224028,20170522
FAC-0334,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,"830 COUNTY ROAD, POCASSET, MA 02559",Rehabilitation,16,Active,Unknown,224031,20140417
FAC-0335,WORCESTER RECOVERY CENTER AND HOSPITAL,"309 BELMONT STREET, WORCESTER, MA 01604",Rehabilitation,166,Active,Unknown,224032,20110713
FAC-0336,"WALDEN BEHAVIORAL CARE, LLC","10 CAREMATRIX DR, DEDHAM, MA 02026",Rehabilitation,45,Active,Unknown,224038,20061206
FAC-0337,WHITTIER PAVILION,"76 SUMMER STREET, HAVERHILL, MA 01830",Rehabilitation,71,Active,Unknown,224039,20250410
FAC-0338,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,"85 EAST NEWTON STREET, BOSTON, MA 02118",Rehabilitation,60,Active,Unknown,224040,20230925
FAC-0339,SOUTHCOAST BEHAVIORAL HEALTH,"581 FAUNCE CORNER ROAD, DARTMOUTH, MA 02747",Rehabilitation,120,Active,Unknown,224041,20151120
FAC-0340,TARAVISTA BEHAVIORAL HEALTH CENTER,"85 PATTON ROAD, DEVENS, MA 01434",Rehabilitation,108,Active,Unknown,224043,20190927
FAC-0341,WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL LLC,"300 FRIBERG PARKWAY, WESTBOROUGH, MA 01581",Rehabilitation,152,Active,Unknown,224044,20180124
FAC-0342,HOSPITAL FOR BEHAVIORAL MEDICINE,"100 CENTURY DRIVE, WORCESTER, MA 01606",Rehabilitation,82,Active,Unknown,224045,20190322
FAC-0343,MIRAVISTA BEHAVIORAL HEALTH CENTER,"1233 MAIN STREET, HOLYOKE, MA 01040",Rehabilitation,36,Active,Unknown,224046,20210907
FAC-0344,VALLEY SPRINGS BEHAVIORAL HEALTH HOSPITAL,"45 LOWER WESTFIELD ROAD, HOLYOKE, MA 01040",Rehabilitation,150,Active,Unknown,224047,20231122
FAC-0345,MASSACHUSETTS COMMUNITY MENTAL HEALTH CENTER,"74 FENWOOD ROAD, BOSTON, MA 02115",Short-Term Acute Care,0,Not Accredited,Unknown,224614,20160824
FAC-0346,ARBOUR COUNSELING,"116 SUMMER STREET, HAVERHILL, MA 01830",Short-Term Acute Care,0,Not Accredited,Unknown,224615,20240227
FAC-0347,ARBOUR COUNSELING SERVICES PARTIAL HOSP SERV,"384 WASHINGTON STREET, NORWELL, MA 02061",Short-Term Acute Care,0,Not Accredited,Unknown,224623,20190821
FAC-0348,ARBOR COUNSELING SERVICES-WOBURN,"10 L ROESSLER ROAD, WOBURN, MA 01801",Short-Term Acute Care,0,Not Accredited,Unknown,224625,20240206
FAC-0349,COMMUNITY CARE MENTAL HEALTH CENTER,"417 LIBERTY STREET, SPRINGFIELD, MA 01104",Short-Term Acute Care,0,Not Accredited,Unknown,224626,20180718
FAC-0350,ARBOUR COUNSELING SERVICES PHP,"1082 DAVOL STREET, SUITE #2, FALL RIVER, MA 02720",Short-Term Acute Care,0,Not Accredited,Unknown,224627,20240220
FAC-0351,ARBOUR COUNSELING SERVICES,"411 CHANDLER STREET, PHP PROGRAMS, WORCESTER, MA 01602",Short-Term Acute Care,0,Not Accredited,Unknown,224630,20200212
FAC-0352,"GUIDELIGHT HEALTH OF MASSACHUSETTS, LLC","299 LINCOLN STREET, SUITE 302, WORCESTER, MA 01605",Short-Term Acute Care,0,Not Accredited,Unknown,224631,20250602
FAC-0353,LEARNWELL BEHAVIORAL HEALTH LLC,"199 WELLS AVENUE, SUITE 108, NEWTON, MA 02459",Short-Term Acute Care,0,Not Accredited,Unknown,224632,20250604
